ID,Sector,Ataque,Tiempo_Contencion (Hrs),Registros_Comprometidos (Miles)
B01,Salud,Malware,52.1,14.5
B02,Financiero,Ransomware,48,80.2
B03,Financiero,Malware,39.5,11.2
B04,Salud,Ransomware,75.4,62.3
B05,Salud,Malware,60.2,25.4
B06,Financiero,Ransomware,41.8,55.8
B07,Salud,Ransomware,80.1,40.1
B08,Financiero,Malware,37.2,18.5
B09,Financiero,Ransomware,45.6,90
B10,Salud,Malware,50.8,20.1
B11,Financiero,Malware,43.4,15.6
B12,Salud,Ransomware,78.2,58.9
B13,Financiero,Ransomware,50.7,85.4
B14,Salud,Malware,55.3,17.8
B15,Financiero,Malware,38.1,10.9
B16,Salud,Ransomware,72.6,45.5
B17,Financiero,Ransomware,44.3,68.7
B18,Salud,Malware,58.9,23.2
B19,Financiero,Malware,40.9,13.4
B20,Salud,Ransomware,76.8,52.6
B21,Financiero,Ransomware,49.5,75.1
B22,Salud,Malware,53.6,16.7
B23,Financiero,Malware,36.5,9.8
B24,Salud,Ransomware,79.4,65
B25,Financiero,Ransomware,46.2,82.3
B26,Salud,Malware,61.7,26.5
B27,Financiero,Malware,42.8,14.2
B28,Salud,Ransomware,74.1,48.8
B29,Financiero,Ransomware,47.9,71.9
B30,Salud,Malware,57.4,21.6
B31,Financiero,Malware,39.2,12.1
B32,Salud,Ransomware,81.3,59.4
B33,Financiero,Ransomware,43.6,60.5
B34,Salud,Malware,54.9,19.3
B35,Financiero,Malware,41.5,16
B36,Salud,Ransomware,77.5,55.2
B37,Financiero,Ransomware,51.2,88.6
B38,Salud,Malware,59.8,24.8
B39,Financiero,Malware,37.8,11.5
B40,Salud,Ransomware,73.9,42.9
B41,Financiero,Ransomware,45.1,66.4
B42,Salud,Malware,51.5,15.9
B43,Financiero,Malware,44.6,17.3
B44,Salud,Ransomware,78.8,61.7
B45,Financiero,Ransomware,48.4,79.5
B46,Salud,Malware,56.1,20.8
B47,Financiero,Malware,40.2,12.7
B48,Salud,Ransomware,82,47.4
B49,Financiero,Ransomware,42.7,58.1
B50,Salud,Malware,62.4,27.1
