Sector,Ataque,Tiempo_Contencion (Hrs),Registros_Comprometidos (Miles)
Salud,Malware,52.1,14.5
Financiero,Ransomware,48.0,80.2
Financiero,Malware,39.5,11.2
Salud,Ransomware,75.4,62.3
Salud,Malware,60.2,25.4
Financiero,Ransomware,41.8,55.8
Salud,Ransomware,80.1,40.1
Financiero,Malware,37.2,18.5
Financiero,Ransomware,45.6,90.0
Salud,Malware,50.8,20.1
Financiero,Malware,43.4,15.6
Salud,Ransomware,78.2,58.9
Financiero,Ransomware,50.7,85.4
Salud,Malware,55.3,17.8
Financiero,Malware,38.1,10.9
Salud,Ransomware,72.6,45.5
Financiero,Ransomware,44.3,68.7
Salud,Malware,58.9,23.2
Financiero,Malware,40.9,13.4
Salud,Ransomware,76.8,52.6
Financiero,Ransomware,49.5,75.1
Salud,Malware,53.6,16.7
Financiero,Malware,36.5,9.8
Salud,Ransomware,79.4,65.0
Financiero,Ransomware,46.2,82.3
Salud,Malware,61.7,26.5
Financiero,Malware,42.8,14.2
Salud,Ransomware,74.1,48.8
Financiero,Ransomware,47.9,71.9
Salud,Malware,57.4,21.6
Financiero,Malware,39.2,12.1
Salud,Ransomware,81.3,59.4
Financiero,Ransomware,43.6,60.5
Salud,Malware,54.9,19.3
Financiero,Malware,41.5,16.0
Salud,Ransomware,77.5,55.2
Financiero,Ransomware,51.2,88.6
Salud,Malware,59.8,24.8
Financiero,Malware,37.8,11.5
Salud,Ransomware,73.9,42.9
Financiero,Ransomware,45.1,66.4
Salud,Malware,51.5,15.9
Financiero,Malware,44.6,17.3
Salud,Ransomware,78.8,61.7
Financiero,Ransomware,48.4,79.5
Salud,Malware,56.1,20.8
Financiero,Malware,40.2,12.7
Salud,Ransomware,82.0,47.4
Financiero,Ransomware,42.7,58.1
Salud,Malware,62.4,27.1
Financiero,Ransomware,24.0,937.653
Salud,Malware,36.0,794.906
Salud,Malware,57.0,698.852
Salud,Malware,63.0,566.437
Financiero,Ransomware,25.0,933.028
Salud,Malware,5.0,969.504
Financiero,Malware,27.0,605.166
Financiero,Ransomware,53.0,128.594
Financiero,Malware,18.0,151.599
Financiero,Ransomware,38.0,222.293
Financiero,Malware,35.0,517.61
Salud,Malware,34.0,714.681
Salud,Malware,35.0,563.706
Salud,Malware,56.0,937.717
Salud,Malware,29.0,155.059
Salud,Malware,44.0,755.771
Financiero,Malware,58.0,797.768
Financiero,Malware,27.0,755.029
Financiero,Malware,21.0,660.182
Financiero,Ransomware,47.0,759.804
Salud,Malware,4.0,808.392
Salud,Malware,69.0,325.521
Salud,Malware,44.0,676.384
Salud,Ransomware,64.0,961.557
Financiero,Malware,56.0,762.662
Salud,Malware,53.0,80.855
Salud,Malware,26.0,808.984
Financiero,Ransomware,48.0,261.038
Salud,Malware,56.0,90.64
Salud,Ransomware,40.0,207.842
Financiero,Ransomware,48.0,21.81
Salud,Malware,43.0,654.633
Salud,Malware,36.0,400.752
Salud,Ransomware,27.0,413.293
Financiero,Malware,66.0,741.153
Financiero,Malware,62.0,689.681
Financiero,Malware,27.0,593.009
Financiero,Ransomware,6.0,345.825
Financiero,Ransomware,6.0,565.08
Financiero,Malware,3.0,259.176
Salud,Malware,8.0,571.521
Salud,Malware,43.0,158.107
Financiero,Ransomware,33.0,555.527
Financiero,Ransomware,26.0,713.584
Financiero,Ransomware,36.0,51.219
Financiero,Ransomware,65.0,355.077
Financiero,Malware,58.0,347.441
Financiero,Ransomware,72.0,277.175
Salud,Ransomware,6.0,327.566
Financiero,Malware,7.0,258.587
