Ransomware,Malware
80.2,14.5
62.3,11.2
55.8,25.4
40.1,18.5
90.0,20.1
58.9,15.6
85.4,17.8
45.5,10.9
68.7,23.2
52.6,13.4
75.1,16.7
65.0,9.8
82.3,26.5
48.8,14.2
71.9,21.6
59.4,12.1
60.5,19.3
55.2,16.0
88.6,24.8
42.9,11.5
66.4,15.9
61.7,17.3
79.5,20.8
47.4,12.7
58.1,27.1
937.653,794.906
933.028,698.852
128.594,566.437
222.293,969.504
759.804,605.166
961.557,151.599
261.038,517.61
207.842,714.681
21.81,563.706
923.911,937.717
413.293,155.059
345.825,755.771
565.08,797.768
555.527,755.029
713.584,660.182
51.219,808.392
355.077,325.521
952.504,676.384
113.404,762.662
217.438,80.855
157.313,808.984
994.243,90.64
489.62,654.633
410.385,400.752
58.037,741.153
168.881,689.681
604.25,593.009
277.175,862.136
584.428,259.176
178.268,571.521
817.169,158.107
501.49,791.366
397.813,434.626
185.001,481.452
152.814,454.802
46.96,347.441
380.97,452.477
32.616,907.121
858.128,30.18
393.779,796.1
910.96,392.365
386.308,497.035
893.277,124.155
53.111,680.874
327.566,850.339
707.214,240.532
745.103,437.283
47.737,761.39
603.402,59.979
877.571,906.914
93.314,358.371
125.309,116.84
818.172,418.914
18.399,187.312
989.151,760.23
77.845,602.041
851.222,776.819
745.273,652.957
41.635,984.973
193.378,182.338
429.566,775.042
496.292,50.468
564.046,443.715
553.944,412.236
507.258,592.988
647.303,970.056
65.148,783.976
199.832,922.209
451.51,821.803
61.764,79.94
175.755,554.162
719.532,162.93
677.971,32.423
200.307,612.319
543.437,258.587
657.939,337.12
905.935,646.567
255.531,781.284
874.035,91.974
60.428,189.116
799.581,242.247
654.947,194.553
455.702,817.255
639.896,330.581
157.547,294.133
785.564,25.905
795.12,109.083
126.77,397.361
796.351,742.857
168.617,945.465
701.522,731.722
682.791,21.382
388.211,987.35
242.893,526.658
453.441,248.859
528.708,897.755
50.385,686.119
514.319,184.554
924.837,169.113
979.382,122.728
80.926,841.903
144.533,552.427
83.374,786.462
461.093,205.85
798.498,518.982
685.837,762.282
596.776,801.821
339.815,805.745
820.14,54.206
312.34,375.245
209.358,719.537
912.847,82.287
982.507,964.191
469.735,859.708
276.925,99.178
704.23,636.273
964.782,458.185
715.102,517.353
439.046,357.205
509.93,267.554
433.987,661.377
540.353,940.038
785.179,875.225
180.76,239.2
909.979,58.205
638.668,430.2
443.408,334.945
273.66,141.437
827.952,843.891
759.522,848.188
860.343,477.346
183.711,386.686
206.631,993.215
332.214,148.622
920.121,783.899
887.531,275.619
480.773,68.718
534.686,159.475
712.739,71.213
712.697,992.014
490.818,905.77
322.611,191.427
545.908,
801.948,
843.256,
594.17,
