Ransomware,Malware,,Ransomware_Levene,Malware_Levene
80.2,14.5,,0.70,140.56
62.3,11.2,,17.20,143.86
55.8,25.4,,23.70,129.66
40.1,18.5,,39.40,136.56
90,20.1,,10.50,134.96
58.9,15.6,,20.60,139.46
85.4,17.8,,5.90,137.26
45.5,10.9,,34.00,144.16
68.7,23.2,,10.80,131.86
52.6,13.4,,26.90,141.66
75.1,16.7,,4.40,138.36
65,9.8,,14.50,145.26
82.3,26.5,,2.80,128.56
48.8,14.2,,30.70,140.86
71.9,21.6,,7.60,133.46
59.4,12.1,,20.10,142.96
60.5,19.3,,19.00,135.76
55.2,16,,24.30,139.06
88.6,24.8,,9.10,130.26
42.9,11.5,,36.60,143.56
66.4,15.9,,13.10,139.16
61.7,17.3,,17.80,137.76
79.5,20.8,,0.00,134.26
47.4,12.7,,32.10,142.36
58.1,27.1,,21.40,127.96
937.653,794.906,,858.15,639.85
933.028,698.852,,853.53,543.79
128.594,566.437,,49.09,411.38
222.293,969.504,,142.79,814.45
759.804,605.166,,680.30,450.11
961.557,151.599,,882.06,3.46
261.038,517.61,,181.54,362.55
207.842,714.681,,128.34,559.62
21.81,563.706,,57.69,408.65
413.293,937.717,,333.79,782.66
345.825,155.059,,266.33,0.00
565.08,755.771,,485.58,600.71
555.527,797.768,,476.03,642.71
713.584,755.029,,634.08,599.97
51.219,660.182,,28.28,505.12
355.077,808.392,,275.58,653.33
277.175,325.521,,197.68,170.46
327.566,676.384,,248.07,521.33
,762.662,,,607.60
,80.855,,,74.20
,808.984,,,653.93
,90.64,,,64.42
,654.633,,,499.57
,400.752,,,245.69
,741.153,,,586.09
,689.681,,,534.62
,593.009,,,437.95
,259.176,,,104.12
,571.521,,,416.46
,158.107,,,3.05
,347.441,,,192.38
,258.587,,,103.53
