Registros_Ransomware,Registros_Malware
80.2,14.5
62.3,11.2
55.8,25.4
40.1,18.5
90.0,20.1
58.9,15.6
85.4,17.8
45.5,10.9
68.7,23.2
52.6,13.4
75.1,16.7
65.0,9.8
82.3,26.5
48.8,14.2
71.9,21.6
59.4,12.1
60.5,19.3
55.2,16.0
88.6,24.8
42.9,11.5
66.4,15.9
61.7,17.3
79.5,20.8
47.4,12.7
58.1,27.1
26.888,220.581
30.907,27.829
125.179,14.963
356.997,112.416
14.466,8.223
1.0,45.521
1.75,1.198
22.365,11.455
288.055,36.477
63.748,7.731
72.384,60.3
215.316,64.102
7.094,82.381
40.154,42.432
7.476,14.785
2.527,90.839
67.45,7.778
26.238,7.137
277.339,35.304
24.51,87.288
4.814,5.842
29.072,348.772
72.588,43.179
227.736,33.238
51.025,5.915
7.443,185.823
122.513,4.199
36.959,106.548
298.173,199.54
6.621,24.73
29.36,20.109
32.593,1.0
41.089,59.042
46.614,11.975
1.0,273.265
2.213,1.0
112.301,6.975
142.768,
321.127,
1.0,
2.452,
1.0,
1.0,
29.694,
20.656,
15.959,
285.219,
81.523,
111.293,
16.069,
9.8,
29.924,
2.245,
322.405,
26.715,
147.535,
142.08,
27.996,
25.789,
346.58,
2.956,
2.135,
4.503,
64.082,
26.201,
125.553,
1.0,
48.002,
253.558,
4.13,
238.536,
45.119,
156.677,
205.972,
247.994,
1.0,
90.585,
57.698,
48.882,
8.332,
4.099,
4.644,
26.007,
5.817,
36.699,
3.48,
93.306,
27.696,
30.091,
232.826,
9.179,
58.025,
57.211,
11.483,
3.816,
53.769,
1.227,
8.236,
15.095,
11.306,
191.56,
35.1,
15.121,
27.576,
2.964,
1.0,
40.017,
124.849,
7.435,
2.774,
67.18,
1.0,
9.888,
6.476,
