industry_primary,attack_vector_primary,data_compromised_records,downtime_hours
52,ransomware,26888,16.52
44-45,ransomware,30907,91.85
31-33,ransomware,,77.9
44-45,ransomware,,106.43
92,ransomware,13561,235.57
54,ransomware,125179,39.44
52,malware,220581,64.41
52,ransomware,356997,33.7
92,malware,1000,420.72
56,ransomware,6094,320.38
31-33,ransomware,14466,59.18
56,ransomware,,121.22
61,ransomware,1000,66.74
52,ransomware,,134.87
62,malware,27829,17.04
62,ransomware,44647095,4
56,malware,14963,16.93
62,ransomware,1344167,5.23
44-45,malware,34454,180.85
62,ransomware,1750,26.84
52,ransomware,56912,
62,ransomware,,197.67
22,ransomware,,157.6
44-45,malware,112416,58.28
22,ransomware,22365,133.3
92,ransomware,288055,51.6
52,ransomware,63748,17.2
31-33,malware,3414242,14.1
92,malware,9256285,12.01
62,ransomware,72384,51.57
62,ransomware,215316,2.77
52,ransomware,7094,6.36
62,malware,9976,556.94
62,ransomware,40154,29.58
62,ransomware,7476,77.72
92,malware,,12.03
62,ransomware,2527,104.52
51,ransomware,67450,24.12
22,ransomware,26238,79.18
56,ransomware,277339,13.06
21,ransomware,20312,
52,ransomware,8781,296.19
51,ransomware,24510,164.12
42,ransomware,296640,
52,ransomware,3817,809.29
51,ransomware,54730,208.5
44-45,ransomware,4814,91.87
51,ransomware,29072,66.62
62,malware,45596,
62,ransomware,72588,133.52
31-33,malware,216824,
44-45,ransomware,,2.83
31-33,ransomware,218135,
62,ransomware,227736,96.91
72,ransomware,51025,39.54
22,ransomware,394094,16.86
54,malware,8880469,
31-33,ransomware,19879,
44-45,ransomware,11469312,140.01
61,ransomware,1399411,83.59
52,ransomware,7443,10.56
62,ransomware,1474963,19.05
44-45,malware,8223,22.2
48-49,ransomware,122513,30.9
54,ransomware,,274.09
54,ransomware,36959,7.78
53,ransomware,14696,
51,ransomware,731006,170.79
62,ransomware,298173,28.59
52,ransomware,11336,
92,ransomware,6621,54.03
62,ransomware,163660,
62,malware,45521,53.17
52,malware,996123,
52,malware,,26.51
52,malware,1198,66.13
62,ransomware,29360,30.73
54,ransomware,32593,109.6
44-45,ransomware,41089,30.87
44-45,ransomware,,238.76
21,malware,470480,1.83
22,ransomware,8869,300.26
22,ransomware,46614,147.82
52,ransomware,1000,93.62
51,ransomware,,50.41
72,ransomware,2213,34.82
31-33,ransomware,,
92,ransomware,1122923,18.61
51,ransomware,2069087,12.72
62,malware,842421,
42,ransomware,11038,226.84
44-45,ransomware,112301,113.51
31-33,malware,11455,119.48
61,ransomware,,49
62,ransomware,61200,
62,malware,,215.08
51,ransomware,2976493,15.86
44-45,ransomware,39580,1198.93
62,malware,36477,7.36
72,malware,1281368,
62,ransomware,465789,46.27
53,ransomware,599588,
51,malware,7731,38.21
62,malware,116203,918.13
44-45,malware,19885,
44-45,ransomware,,22.71
31-33,ransomware,21985997,
61,ransomware,48302,321.61
62,malware,65421,359.45
31-33,malware,60300,7.09
31-33,ransomware,,42.38
23,ransomware,142768,64.87
52,ransomware,5970337,
62,ransomware,321127,71.19
52,ransomware,7154,267.6
52,ransomware,1007993,
22,ransomware,1000,3.79
22,malware,422226,67.88
21,malware,246915,239.75
31-33,ransomware,41115,
51,ransomware,492158,41.24
62,ransomware,491707,7.58
51,ransomware,2452,46.67
92,ransomware,,264.05
52,ransomware,54699,
53,ransomware,1000,89.19
62,ransomware,1000,33.72
44-45,ransomware,29694,32.36
51,ransomware,22504,394.04
52,ransomware,20656,40.54
51,malware,64102,10.64
42,ransomware,2103586,
62,ransomware,15959,75.69
31-33,ransomware,285219,83.12
48-49,malware,82381,47.12
44-45,ransomware,81523,114.49
52,ransomware,111293,104.99
44-45,ransomware,16069,90.8
51,ransomware,9800,10.85
51,malware,3865675,22.03
61,ransomware,29924,43.3
62,ransomware,402732,766.75
61,ransomware,2245,38.45
62,ransomware,4672448,76.27
62,ransomware,,
51,ransomware,322405,11.92
54,ransomware,26715,96.29
23,malware,,
51,ransomware,23623,208.39
62,ransomware,612529,37.72
42,malware,244544,
21,ransomware,147535,24.19
51,ransomware,39520,
31-33,ransomware,549736525,4.33
62,ransomware,,18.14
42,ransomware,142080,61.32
52,ransomware,33370,264.95
61,malware,563049,
51,ransomware,,184.95
62,ransomware,27996,9.6
52,malware,42432,41.48
44-45,ransomware,1000,
62,ransomware,25789,43.8
31-33,ransomware,54353,
23,ransomware,346580,41.06
48-49,ransomware,2956,118.21
54,ransomware,2135,32.2
53,malware,14785,62.58
92,ransomware,4503,124.81
51,ransomware,293884,
31-33,malware,695388,40.68
92,ransomware,72296,182.6
62,ransomware,64082,23.26
54,ransomware,569535,3.52
92,malware,164295,
52,ransomware,,
31-33,ransomware,1023706,10.13
54,ransomware,344359,
51,ransomware,26201,38.04
62,ransomware,23272486,234.73
44-45,ransomware,,38.68
52,ransomware,125553,55.62
31-33,ransomware,1000,40.4
92,malware,85998,378.38
71,ransomware,48002,60.01
51,ransomware,,
54,malware,90839,36.75
48-49,ransomware,253558,14.96
61,ransomware,9455,241.13
62,ransomware,4130,25.29
51,ransomware,44832,180.46
92,malware,27595,
51,ransomware,946485,65.08
56,ransomware,269216,
62,ransomware,28417797,64.35
52,ransomware,238536,48.56
62,malware,7778,29.92
52,ransomware,45119,30.65
52,ransomware,490240,151.33
51,ransomware,156677,9.91
44-45,ransomware,13188,
52,malware,7137,32.93
31-33,ransomware,609054,121.72
62,ransomware,484821,24.62
62,ransomware,205972,73.14
21,malware,35304,37.57
56,ransomware,709575,11.88
62,malware,383974,
51,malware,509686,52.02
61,malware,87288,85.23
51,ransomware,2192898,126.72
51,ransomware,5680,
51,malware,5842,15.13
51,malware,348772,132.86
44-45,ransomware,247994,128.32
22,malware,43179,81.57
54,ransomware,1000,39.05
51,ransomware,90585,113.13
23,ransomware,57698,69.22
51,ransomware,98467,305.29
62,malware,33238,110.14
44-45,malware,11755018,223.56
62,ransomware,48882,12.09
51,ransomware,8332,7.14
62,ransomware,99672,
51,ransomware,7500587,363.78
62,ransomware,4099,22.66
62,malware,5915,91.99
71,ransomware,,81.75
44-45,ransomware,632434,
61,ransomware,4644,84.34
42,ransomware,26007,35.57
52,malware,29748,352.06
31-33,ransomware,,24.67
62,malware,,97.45
31-33,malware,865968,45.32
52,ransomware,727216,14.44
52,ransomware,5817,101.75
62,ransomware,395948,127.57
61,ransomware,36699,40.64
61,ransomware,3480,70.57
54,ransomware,93306,30.42
92,malware,49282,
54,ransomware,,85.76
62,ransomware,,79.88
44-45,ransomware,27696,13.84
51,ransomware,5700,
23,ransomware,30091,51.65
62,ransomware,232826,77.37
62,ransomware,9179,23.33
52,malware,185823,4.28
92,ransomware,58025,40.68
21,ransomware,1911,
52,ransomware,57211,32.65
23,ransomware,11483,26.12
92,ransomware,3816,42.02
62,malware,11588972,
23,malware,,23.76
52,ransomware,53769,9.52
48-49,malware,4199,144.45
52,malware,106548,29.17
51,ransomware,1227,32.93
44-45,ransomware,8236,46.64
21,ransomware,60358,
22,ransomware,,
62,ransomware,2232686,107.01
51,malware,389547,132.58
51,malware,,24.17
52,ransomware,4447,
61,malware,199540,165.94
31-33,ransomware,15095,96.65
62,ransomware,11306,17.37
62,ransomware,191560,26.85
52,ransomware,35100,30.33
61,ransomware,3024,715.78
31-33,ransomware,15121,126.71
52,ransomware,27576,13.65
51,ransomware,2964,49.27
51,malware,24730,49.46
31-33,ransomware,1781308,16.26
52,ransomware,10458,
52,ransomware,1000,118.46
31-33,ransomware,40017,101.28
44-45,ransomware,,
42,malware,20109,50.22
62,malware,1000,23.59
92,ransomware,124849,141.09
62,malware,59042,31.71
81,ransomware,2878816,51.79
44-45,ransomware,201238,
56,ransomware,7435,76.8
92,ransomware,11039,183.35
61,ransomware,5940,
52,malware,11975,48.44
56,ransomware,2774,17.04
92,malware,,123.76
44-45,malware,273265,7.17
54,ransomware,1286514,15.87
92,malware,1000,175.88
51,malware,21417908,113.94
48-49,ransomware,67180,26.94
71,malware,6975,10.17
62,ransomware,125669,
51,malware,1112417,104.72
72,ransomware,1000,105.06
51,ransomware,9888,13.11
71,ransomware,6476,55.51
